City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Petropavlovsk-Kamchatskiy,53.05,158.65,59.0,100,90,4.47,RU,1596146362
Oktyabr'skiy,54.48,53.47,62.38,83,98,5.73,RU,1596146362
Tupanciretã,-29.08,-53.84,49.55,93,5,8.16,BR,1596146363
Coquimbo,-29.95,-71.34,59.0,72,16,12.75,CL,1596146363
Chumikan,54.72,135.31,53.73,97,100,16.78,RU,1596145764
Kasongo,-4.45,26.67,76.89,32,11,2.75,CD,1596146364
Kibre Mengist,5.88,38.98,57.36,87,49,2.35,ET,1596146364
Nadvoitsy,63.87,34.32,53.62,89,100,13.91,RU,1596146364
Ambon City,-3.7,128.18,79.0,14,94,17.09,ID,1596146365
Muscat,23.61,58.59,91.4,79,9,3.36,OM,1596146365
Cabedelo,-6.98,-34.83,75.2,78,0,8.05,BR,1596145877
Jinji,23.23,110.83,77.85,83,44,2.75,CN,1596146366
Fukuechō,32.69,128.84,81.07,83,87,3.06,JP,1596146366
Moses Lake,47.13,-119.28,105.8,12,1,9.17,US,1596146366
Sheltozero,61.37,35.37,56.48,82,0,11.59,RU,1596146366
Dutlwe,-23.98,23.9,50.72,42,0,6.33,BW,1596146247
Araouane,18.9,-3.53,100.26,26,0,8.34,ML,1596146367
Yulara,-25.24,130.99,39.2,35,0,5.82,AU,1596145834
Itarema,-2.92,-39.92,78.55,75,59,14.09,BR,1596146367
San Patricio,19.22,-104.7,89.6,75,40,11.41,MX,1596145838
Okhotsk,59.38,143.3,59.58,64,0,6.64,RU,1596146368
Mazagão,-0.12,-51.29,86.0,74,40,2.24,BR,1596146368
La Asuncion,11.03,-63.86,87.8,70,23,8.05,VE,1596145858
Laminusa,5.55,120.91,82.74,80,100,10.85,PH,1596146369
Airai,-8.93,125.41,52.56,70,9,3.67,TL,1596145781
Longyearbyen,78.22,15.64,50.0,81,20,5.82,SJ,1596145774
Tiznit Province,29.58,-9.5,83.26,38,87,0.65,MA,1596146369
Kolokani,13.57,-8.03,78.19,78,8,6.64,ML,1596146370
Gravdal,68.12,13.5,62.6,72,100,4.7,NO,1596146152
Mto wa Mbu,-3.35,35.85,66.04,70,3,2.48,TZ,1596146370
Yanam,16.73,82.22,80.49,84,83,1.95,IN,1596146137
Kenai,60.55,-151.26,69.8,52,20,4.7,US,1596145833
Garden City,42.33,-83.33,82.4,48,90,6.91,US,1596146371
Johi,26.69,67.61,94.48,51,49,9.51,PK,1596146371
Vaitape,-16.52,-151.75,80.11,78,50,13.42,PF,1596146372
Barnstaple,51.08,-4.06,64.0,72,64,8.99,GB,1596146372
Phan Thiet,10.93,108.1,78.03,87,100,6.31,VN,1596145558
Tsimmerbude,54.67,20.13,59.0,93,75,11.18,RU,1596145874
Río Gallegos,-51.62,-69.22,35.6,80,64,8.05,AR,1596145851
Kidal,18.44,1.41,98.2,18,45,7.47,ML,1596146373
Kiyasovo,56.35,53.12,64.99,85,68,7.87,RU,1596146373
Belyy Yar,53.6,91.39,59.0,87,100,4.47,RU,1596146374
Boqueirão,-7.5,-36.13,69.06,72,3,11.23,BR,1596146374
Asău,46.43,26.4,70.0,79,0,3.53,RO,1596145567
Vila Velha,-20.33,-40.29,73.4,83,40,9.17,BR,1596146163
Lao Cai,22.48,103.95,76.33,83,36,0.38,VN,1596146301
Sitka,57.05,-135.33,73.4,46,1,8.05,US,1596146227
Östersund,63.18,14.64,57.2,93,100,6.93,SE,1596146375
Sisimiut,66.94,-53.67,48.0,70,0,4.83,GL,1596146199
Binzhou,37.37,118.02,78.94,77,11,5.3,CN,1596146376
George Town,5.41,100.34,78.8,94,40,4.7,MY,1596146160
Biržai,56.2,24.75,53.85,94,72,11.99,LT,1596146376
Tupik,54.43,119.93,62.87,93,96,3.71,RU,1596146377
Pangnirtung,66.15,-65.71,53.6,93,90,2.24,CA,1596145856
Paamiut,61.99,-49.67,47.57,91,77,5.53,GL,1596145882
Road Town,18.42,-64.62,86.0,79,40,17.22,VG,1596146103
Hong Kong,22.29,114.16,84.2,70,40,16.11,HK,1596146124
Taoudenni,22.68,-3.98,92.5,36,95,18.75,ML,1596146378
Bonga,7.28,36.23,58.71,90,98,1.05,ET,1596146378
Saint George,37.1,-113.58,109.0,7,1,4.7,US,1596145812
Pinsk,52.12,26.1,55.08,79,49,5.59,BY,1596146378
Bubaque,11.28,-15.83,80.4,82,100,17.22,GW,1596145589
Cabadiangan,9.75,122.47,78.12,85,100,6.62,PH,1596146379
Coruripe,-10.13,-36.18,72.77,81,0,10.36,BR,1596146167
Gifhorn,52.48,10.55,61.0,78,75,2.64,DE,1596146379
Padang,-0.95,100.35,71.6,94,20,1.12,ID,1596145787
Subate,56.01,25.91,54.73,90,72,10.96,LV,1596146380
Turbat,26.0,63.04,85.15,71,22,3.71,PK,1596146380
Hokitika,-42.72,170.97,52.29,71,100,6.04,NZ,1596146254
Riyadh,24.69,46.72,98.6,16,26,5.82,SA,1596145698
Nchelenge,-9.35,28.73,68.29,52,22,8.14,ZM,1596145846
Viiratsi,58.36,25.64,57.2,93,40,9.17,EE,1596146382
Dingle,11.0,122.67,76.89,88,100,5.7,PH,1596146382
Ashoknagar,24.57,77.72,80.8,76,99,5.91,IN,1596146383
Alice Springs,-23.7,133.88,32.0,62,0,4.7,AU,1596146383
Poum,-20.23,164.02,75.16,84,9,10.54,NC,1596145829
Suzhou,31.31,120.62,88.0,92,100,3.0,CN,1596146181
Laas,46.62,10.7,66.2,93,90,5.82,IT,1596146384
Lukovetskiy,64.3,41.92,59.0,62,40,13.42,RU,1596146384
Husavik,66.04,-17.34,51.8,81,45,11.41,IS,1596145543
Vardø,70.37,31.11,51.8,93,75,10.29,NO,1596145546
Kieta,-6.22,155.63,82.22,72,94,2.19,PG,1596146127
Strelka,58.07,93.03,57.29,95,100,6.62,RU,1596146385
Verkhnevilyuysk,63.45,120.32,56.14,74,0,4.16,RU,1596146385
Campoverde,-8.48,-74.81,77.0,78,75,13.87,PE,1596146386
Bud,39.45,-86.18,71.01,88,90,12.75,US,1596146386
Damietta,31.42,31.81,80.6,83,0,9.17,EG,1596146386
Sal Rei,16.18,-22.92,78.8,74,75,12.75,CV,1596146387
Kharitonovo,61.4,47.5,58.08,94,94,9.4,RU,1596146387
Pacific Grove,36.62,-121.92,73.0,64,20,9.17,US,1596145852
Byron Bay,-28.65,153.62,57.2,67,57,12.75,AU,1596146387
Rafrāf,37.19,10.18,86.0,28,0,10.29,TN,1596146261
Haines Junction,60.75,-137.51,75.4,37,0,8.81,CA,1596145814
Oodweyne,9.41,45.06,78.13,47,61,18.9,SO,1596146388
Makassar,-5.14,119.42,73.4,88,20,2.24,ID,1596146388
Hofn,64.25,-15.21,53.31,85,89,10.07,IS,1596145802
Coahuayana Viejo,18.73,-103.68,78.8,83,75,17.22,MX,1596145817
Lovozero,68.0,35.01,50.43,74,90,9.42,RU,1596146389
Tomatlán,19.93,-105.25,91.02,54,100,9.33,MX,1596146389
Lubango,-14.92,13.49,55.72,37,0,3.76,AO,1596145873
Darnah,32.77,22.64,77.43,77,0,15.88,LY,1596146390
Nouakchott,18.09,-15.98,80.6,78,9,12.75,MR,1596146390
Río Tercero,-32.17,-64.11,57.0,34,0,4.0,AR,1596146390
Pitimbu,-7.47,-34.81,75.2,78,6,8.05,BR,1596146390
Obuasi,6.21,-1.66,70.16,94,15,3.31,GH,1596146391
Upernavik,72.79,-56.15,44.69,72,55,1.45,GL,1596146391
Wakimachi,34.07,134.15,81.0,88,20,6.93,JP,1596146391
Springdale,36.19,-94.13,87.01,62,40,12.75,US,1596146092
Jiexiu,37.02,111.91,73.13,68,11,1.45,CN,1596146392
Sweetwater,25.76,-80.37,91.4,59,75,12.75,US,1596146235
Awjilah,29.11,21.29,80.17,49,0,12.39,LY,1596146392
Antalaha,-14.9,50.28,67.5,87,2,5.68,MG,1596146392
Constitución,-35.33,-72.42,51.98,79,100,3.96,CL,1596145616
Pangody,65.85,74.49,51.03,77,68,4.9,RU,1596146393
Alekseyevka,50.63,38.69,64.56,92,54,5.93,RU,1596146393
Comodoro Rivadavia,-45.87,-67.5,41.0,86,100,2.64,AR,1596145586
Clive,41.6,-93.72,84.2,48,90,19.46,US,1596146393
Dwārka,22.24,68.97,84.49,81,100,10.31,IN,1596146394
Praxédis Guerrero,31.37,-106.02,105.8,11,75,11.41,MX,1596146394
Sibolga,1.74,98.78,76.32,79,100,2.95,ID,1596145599
Saint Paul Harbor,57.79,-152.41,62.6,67,20,11.41,US,1596146273
Halifax,44.65,-63.57,77.0,61,9,1.99,CA,1596146336
Kloulklubed,7.04,134.26,77.0,94,75,2.15,PW,1596146395
Boueni,-12.9,45.08,77.0,83,25,14.99,YT,1596146100
Esqueda,30.72,-109.58,99.32,17,0,6.13,MX,1596146395
Chimoio,-19.12,33.48,62.6,72,0,2.73,MZ,1596146396
Kyra,49.58,111.98,59.77,85,100,3.36,RU,1596145807
Natal,-5.79,-35.21,75.2,73,20,5.82,BR,1596145531
Uyemskiy,64.47,40.85,59.0,62,40,13.42,RU,1596146396
Sabang,5.89,95.32,83.62,72,100,21.5,ID,1596146397
Lower Hutt,-41.22,174.92,55.0,66,92,8.05,NZ,1596146397
Boddam,57.47,-1.78,57.2,93,100,9.17,GB,1596146397
Severnoye,56.35,78.36,52.41,93,100,6.69,RU,1596146397
Deniliquin,-35.53,144.97,34.0,91,17,2.57,AU,1596146398
Piaçabuçu,-10.41,-36.43,73.13,80,0,9.66,BR,1596146398
Basco,20.45,121.97,84.72,80,100,18.72,PH,1596145553
Diffa,13.32,12.61,80.91,65,28,14.41,NE,1596146398
Lerwick,60.15,-1.15,51.8,87,100,8.05,GB,1596146399
Nishihara,26.18,127.76,84.2,88,75,10.29,JP,1596146367
Konakovo,56.7,36.77,53.13,92,78,7.02,RU,1596146399
Gra Lygia,35.02,25.68,82.99,34,0,15.01,GR,1596146399
Mariehamn,60.1,19.93,55.4,93,20,4.7,AX,1596146400
Policoro,40.21,16.67,86.0,40,0,2.51,IT,1596146400
Neftegorsk,52.8,51.17,67.3,71,68,9.19,RU,1596146400
Kariba,-16.52,28.8,63.07,55,0,2.98,ZW,1596146400
Bilāspur,22.08,82.15,84.9,68,91,3.53,IN,1596146401
Jambi City,-1.6,103.62,72.27,91,95,2.8,ID,1596146210
Cap Malheureux,-19.98,57.61,68.0,84,1,3.0,MU,1596146402
Acaraú,-2.89,-40.12,78.44,76,65,14.16,BR,1596146342
Vestmannaeyjar,63.44,-20.27,53.6,87,90,10.29,IS,1596145854
Andover,51.21,-1.48,68.0,52,0,4.7,GB,1596146403
Caravelas,-17.71,-39.25,70.66,79,0,5.95,BR,1596145868
Katsuura,35.13,140.3,73.99,94,20,3.98,JP,1596146405
Sertanópolis,-23.06,-51.04,64.4,72,20,11.41,BR,1596146405
Gulu,2.77,32.3,63.75,92,8,3.65,UG,1596146406
Colimes,-1.55,-80.02,77.0,73,90,11.41,EC,1596146407
Lompoc,34.64,-120.46,73.0,64,2,17.22,US,1596146248
Béjar,40.39,-5.76,82.0,34,0,5.99,ES,1596146407
Arlit,18.74,7.39,98.31,16,12,3.22,NE,1596146408
San Juan,-31.54,-68.54,60.44,29,0,6.08,AR,1596146220
Novyi Yarychiv,49.9,24.31,59.0,93,3,2.24,UA,1596146408
Uddevalla,58.35,11.94,57.0,94,3,5.37,SE,1596146409
Taltal,-25.4,-70.48,63.59,51,17,3.78,CL,1596146217
Ulaanbaatar,47.91,106.88,48.2,87,0,1.88,MN,1596146130
San Jose,37.34,-121.89,82.99,50,1,9.17,US,1596146275
Bauchi,10.5,10.0,69.64,93,34,6.42,NG,1596146410
Bam,29.11,58.36,84.16,15,20,13.67,IR,1596146410
Olinda,-8.01,-34.86,77.0,73,75,10.29,BR,1596145526
Mayo,38.89,-76.51,91.0,62,1,8.05,US,1596145826
Alcúdia,39.85,3.12,82.99,54,0,1.12,ES,1596146411
Seydi,39.48,62.91,79.32,41,92,11.48,TM,1596146411
Chadiza,-14.07,32.44,58.87,60,1,4.92,ZM,1596146411
Warman,52.32,-106.57,87.8,52,75,10.29,CA,1596146412
Itupiranga,-5.13,-49.33,93.2,34,35,4.7,BR,1596146412
Verkhoyansk,67.54,133.38,53.19,62,0,4.65,RU,1596146412
Pueblo,38.25,-104.61,86.0,28,75,8.05,US,1596146413
Hobyo,5.35,48.53,78.13,79,35,24.92,SO,1596146413
Arman',59.7,150.17,57.13,54,7,18.63,RU,1596146413
Tiarei,-17.53,-149.33,84.2,70,75,11.41,PF,1596146414
Les Cayes,18.2,-73.75,86.67,66,81,14.25,HT,1596146414
Tuatapere,-46.13,167.68,49.75,91,100,3.31,NZ,1596145851
Kosa,59.94,55.0,61.63,97,100,9.42,RU,1596146415
Onega,63.91,38.14,57.49,93,100,16.24,RU,1596146415
Sucha Beskidzka,49.74,19.59,62.01,71,19,5.99,PL,1596146415
Koshurnikovo,54.17,93.3,54.72,100,100,2.19,RU,1596146416
Balabac,7.99,117.06,81.21,85,100,19.3,PH,1596146416
El Cobre,20.05,-75.95,91.4,55,40,11.41,CU,1596146416
Wuwei,37.93,102.64,69.22,31,65,5.19,CN,1596146416
Fairbanks,64.84,-147.72,75.99,60,75,4.7,US,1596146403
Khani,41.96,42.96,71.6,94,75,4.7,GE,1596145643
Pevek,69.7,170.31,36.64,95,100,8.95,RU,1596146142
Russell,32.35,-85.2,91.4,55,40,5.82,US,1596146417
Ca Mau,9.18,105.15,79.39,86,100,6.51,VN,1596146418
Cañon City,38.44,-105.24,77.0,25,16,5.01,US,1596146418
Leshukonskoye,64.9,45.76,54.09,62,97,9.17,RU,1596146418
Dudinka,69.41,86.18,60.8,67,94,11.18,RU,1596146418
Guarapari,-20.67,-40.5,73.4,83,40,9.17,BR,1596146420
Gwanda,-20.93,29.0,54.93,40,0,5.17,ZW,1596145592
Atasū,48.68,71.64,64.33,54,100,1.39,KZ,1596146420
Arrondissement d'Ajaccio,42.0,8.92,78.8,78,45,5.82,FR,1596146421
La Paz,-16.5,-68.15,62.6,13,0,8.05,BO,1596146421
Ampanihy,-24.7,44.75,58.78,92,0,4.27,MG,1596146421
Caçu,-18.56,-51.13,73.76,51,43,6.93,BR,1596146422
Henties Bay,-22.12,14.28,64.99,52,0,5.17,NA,1596145873
Sechura,-5.56,-80.82,70.66,58,14,17.31,PE,1596146164
Huntley,42.17,-88.43,75.0,60,46,3.0,US,1596146152
Ihosy,-22.4,46.12,57.33,70,0,5.32,MG,1596146422
Kamaishi,39.27,141.88,71.64,81,99,4.63,JP,1596146423
Wuda,39.5,106.71,75.15,52,0,2.3,CN,1596146423
Nelson Bay,-32.72,152.15,51.01,93,75,9.17,AU,1596145585
Ampatuan,6.87,124.47,75.06,91,70,1.72,PH,1596146423
Marabu,4.41,114.01,77.0,88,40,4.7,MY,1596145687
Pringsewu,-5.36,104.97,71.65,85,100,6.33,ID,1596146127
Novy Urengoy,66.08,76.63,54.97,68,99,7.27,RU,1596146164
Hīt,33.64,42.83,97.59,12,0,9.93,IQ,1596146424
Westport,41.14,-73.36,88.0,65,1,9.95,US,1596146352
Cascavel,-24.96,-53.46,56.61,91,19,4.09,BR,1596146425
Glendive,47.11,-104.71,95.0,26,1,3.36,US,1596146385
Valparaíso,-33.04,-71.63,57.2,67,100,2.24,CL,1596146403
Ovalle,-30.6,-71.2,66.15,35,100,2.3,CL,1596146425
Gull Lake,50.1,-108.48,87.8,43,1,12.75,CA,1596146426
Amahai,-3.33,128.92,81.0,95,96,1.99,ID,1596146426
Lingao,19.91,109.69,82.76,81,100,9.04,CN,1596146426
Departamento de Maldonado,-34.67,-54.92,51.8,66,9,11.41,UY,1596146322
Baykit,61.67,96.37,59.27,82,97,3.47,RU,1596146426
Venice of the Philippines,4.66,119.39,83.86,75,100,15.28,PH,1596146427
Abu Samrah,35.3,37.18,77.05,48,0,6.91,SY,1596146427
Makakilo City,21.35,-158.09,86.0,45,20,9.17,US,1596146427
Kānkon,15.02,74.02,79.47,86,97,8.41,IN,1596146427
Rtishchevo,52.26,43.79,62.98,96,100,6.69,RU,1596146299
Tianpeng,30.99,103.94,73.4,100,75,1.57,CN,1596146428
Saint-Félicien,48.65,-72.45,71.6,68,75,9.17,CA,1596146428
Manicoré,-5.81,-61.3,91.4,36,42,5.82,BR,1596146428
Eséka,3.65,10.77,71.74,96,100,3.04,CM,1596146429
Carrboro,35.91,-79.08,91.0,78,33,7.23,US,1596146268
Riverton,40.52,-111.94,99.0,18,1,6.93,US,1596146429
Cuenca,-2.88,-78.98,62.6,72,90,4.7,EC,1596146220
Nemuro,43.32,145.57,63.77,93,9,10.2,JP,1596146429
Sémbé,1.65,14.58,70.99,85,80,2.66,CG,1596146273
Bay Roberts,47.6,-53.26,61.0,97,99,1.9,CA,1596146430
Tabou,4.42,-7.35,75.4,86,84,8.01,CI,1596146176
Bakchar,57.02,82.07,49.06,95,92,3.78,RU,1596146430
Srandakan,-7.94,110.25,69.67,89,44,2.98,ID,1596146431
Jimo,36.39,120.46,78.01,94,21,2.24,CN,1596146431
Turukhansk,65.82,87.98,59.86,78,100,14.99,RU,1596146431
Melita,49.27,-101.0,84.99,60,0,8.01,CA,1596146431
Katiola,8.13,-5.1,77.0,88,20,2.24,CI,1596146432
Limbang,4.75,115.0,75.2,94,75,3.36,MY,1596146432
Ayan,56.45,138.17,55.15,89,100,6.02,RU,1596146432
Udachny,66.42,112.4,53.6,71,0,4.47,RU,1596146432
Tyukalinsk,55.87,72.2,57.06,98,87,6.67,RU,1596146433
Bambanglipuro,-7.95,110.28,69.35,89,39,2.89,ID,1596146433
Kutum,14.2,24.67,74.66,71,95,4.27,SD,1596146433
Solginskiy,61.05,41.34,51.73,89,2,6.44,RU,1596146433
Forio,40.73,13.86,80.01,74,0,7.92,IT,1596146434
Santa Cruz de la Sierra,-17.8,-63.17,73.4,33,2,6.93,BO,1596146434
Atar,20.52,-13.05,90.61,40,100,1.5,MR,1596146434
Ekibastuz,51.67,75.37,64.6,46,51,12.57,KZ,1596146435
Kysyl-Syr,63.9,122.76,58.73,69,0,3.56,RU,1596146435
Ust-Nera,64.57,143.2,55.31,44,25,4.36,RU,1596146435
San Ignacio,17.16,-89.07,87.8,74,75,4.7,BZ,1596146435
Eureka,40.8,-124.16,69.01,77,40,10.29,US,1596146231
Gelemso,8.82,40.52,62.15,87,96,2.86,ET,1596146436
Puerto Boyacá,5.98,-74.59,90.54,57,3,1.99,CO,1596146436
Walvis Bay,-22.96,14.51,73.4,20,0,8.05,NA,1596146437
Kalianget,-7.05,113.93,75.9,79,67,5.93,ID,1596145916
Vao,-22.67,167.48,72.66,88,38,20.04,NC,1596145848
Eganville,45.53,-77.1,73.4,73,40,5.08,CA,1596146437
Bandarbeyla,9.49,50.81,79.07,77,18,30.91,SO,1596145862
Dalvik,65.97,-18.53,51.8,81,7,11.41,IS,1596146438
Azángaro,-14.92,-70.22,62.6,9,68,6.93,PE,1596146438
Yenagoa,4.92,6.26,73.92,91,100,5.59,NG,1596146438
Urman,54.88,56.87,62.13,90,100,7.36,RU,1596146438
Meulaboh,4.14,96.13,77.86,79,100,4.05,ID,1596146439
Dogondoutchi,13.64,4.03,88.61,48,40,9.22,NE,1596146439
Mbini,1.57,9.61,78.8,88,40,5.82,GQ,1596146439
Mitsamiouli,-11.38,43.28,76.89,81,35,18.59,KM,1596146439
Kavaratti,10.57,72.64,82.36,79,100,16.31,IN,1596146440
Regina,50.45,-104.62,88.0,55,20,10.29,CA,1596146315
Botou,38.07,116.57,77.76,83,0,6.2,CN,1596146440
Saldanha,-33.01,17.94,51.8,87,0,4.7,ZA,1596146440
Ndjolé,-0.18,10.76,75.38,80,92,4.07,GA,1596146441
Barra,-11.09,-43.14,76.32,42,0,7.27,BR,1596146441
Bayan,46.08,127.4,71.85,77,73,3.78,CN,1596146441
Miepherkeim,38.14,41.01,75.2,50,0,6.93,TR,1596146441
Bushehr,28.97,50.84,91.4,75,0,4.7,IR,1596146442
Barillas,15.8,-91.32,68.76,88,86,2.91,GT,1596146442
Balkhash,46.84,74.98,71.2,44,92,10.65,KZ,1596146442
Spanish Town,17.99,-76.96,95.0,44,20,14.99,JM,1596146443
San Andrés,12.58,-81.7,87.8,74,40,9.17,CO,1596146209
Antsohihy,-14.88,47.99,69.28,96,1,2.59,MG,1596146443
Kodīnar,20.79,70.7,82.15,86,100,11.52,IN,1596146444
Plouzané,48.38,-4.62,75.2,82,0,4.7,FR,1596146444
Los Llanos de Aridane,28.66,-17.92,73.4,64,75,13.87,ES,1596146444
Jinchang,38.5,102.17,74.21,27,27,7.56,CN,1596146444
Rockhampton,-23.38,150.5,57.2,82,0,4.7,AU,1596146444
Aykhal,66.0,111.5,53.6,71,0,4.47,RU,1596145876
Lamar,33.67,-95.58,98.6,44,1,16.11,US,1596146445
Kendari,-3.94,122.5,72.57,93,92,4.47,ID,1596146445
Barcelos,41.54,-8.62,68.0,93,75,3.02,PT,1596146445
